Distance (cm),Temperature (oC),Humidity %,"Motion detected (0 = No, 1 = Yes)"
56,21.2,40,0
56,21.2,40,0
56.6,21.2,40,0
56,21.2,40,0
318.4,21.2,40,0
58.6,21.2,40,0
55.3,21.2,40,0
37,21.2,40,0
22.3,21.2,40,1
14.9,21.2,40,1
13.6,21.2,40,1
16.2,21.2,40,1
8.7,21.2,40,1
15.9,21.2,40,1
35.6,21.2,40,0
51.2,21.2,40,0
59.2,21.2,40,0
62.3,21.2,39,0
43.8,21.2,39,0
22.9,21.2,39,1
13.9,21.2,39,1
8.7,21.2,39,1
14.2,21.2,39,1
20,21.2,39,1
20.4,21.2,39,1
15.2,21.2,39,1
11.1,21.2,39,1
6.9,21.2,39,1
5.5,21.2,39,1
5.6,21.2,39,1
7.8,21.2,39,1
4.9,21.2,39,1
8.2,21.2,39,1
15.9,21.2,39,1
23.7,21.2,39,1
29.6,21.2,39,1
75.3,21.2,39,0
56,21.2,39,0
52.2,21.2,39,0
52.1,21.2,39,0
